Date,Time,Open,High,Low,Close
09/26/2006,00:00,6571.5,6633.0,6498.5,6594.5
10/03/2006,00:00,6589.5,6680.5,6576.0,6635.5
10/10/2006,00:00,6626.0,6773.5,6590.5,6733.0
10/17/2006,00:00,6738.0,6839.0,6723.0,6831.5
10/24/2006,00:00,6822.5,6890.5,6746.5,6888.5
10/31/2006,00:00,6879.5,6950.5,6842.5,6891.5
11/07/2006,00:00,6895.5,6993.5,6831.5,6972.5
11/14/2006,00:00,6960.5,7047.0,6935.5,7012.5
11/21/2006,00:00,7024.0,7100.0,6987.5,7068.0
11/28/2006,00:00,7068.0,7116.5,6864.5,6882.5
12/05/2006,00:00,6902.5,7018.0,6810.5,6920.5
12/12/2006,00:00,6919.5,7093.5,6899.5,7076.5
12/19/2006,00:00,7072.0,7281.0,7056.5,7243.5
12/27/2006,00:00,7234.0,7283.5,7148.5,7158.0
01/03/2007,00:00,7195.0,7359.5,7194.0,7344.5
01/10/2007,00:00,7335.5,7359.5,7179.5,7264.5
01/17/2007,00:00,7223.0,7394.0,7179.5,7371.5
01/24/2007,00:00,7360.5,7408.0,7266.5,7331.0
01/31/2007,00:00,7344.5,7465.5,7297.5,7428.0
02/07/2007,00:00,7416.5,7559.5,7393.5,7517.5
02/14/2007,00:00,7514.5,7595.5,7470.5,7537.5
02/21/2007,00:00,7548.5,7626.5,7532.5,7625.0
02/28/2007,00:00,7621.5,7658.0,7236.5,7270.0
03/07/2007,00:00,7315.5,7393.5,7027.0,7252.5
03/14/2007,00:00,7226.5,7361.5,7027.5,7152.5
03/21/2007,00:00,7124.5,7494.5,7027.5,7364.5
03/28/2007,00:00,7356.5,7570.0,7350.5,7536.0
04/04/2007,00:00,7497.5,7745.0,7450.0,7724.0
04/11/2007,00:00,7733.5,7855.0,7696.0,7834.5
04/18/2007,00:00,7818.5,8019.0,7738.5,7994.5
04/25/2007,00:00,7981.5,8023.5,7802.0,7930.5
05/02/2007,00:00,7922.5,8117.5,7912.5,8026.0
05/09/2007,00:00,8052.5,8183.5,8050.0,8115.5
05/16/2007,00:00,8123.0,8162.5,7938.5,8095.0
05/23/2007,00:00,8104.0,8377.0,8089.0,8279.5
05/30/2007,00:00,8278.0,8440.5,8278.0,8389.0
06/06/2007,00:00,8360.5,8626.5,8294.5,8515.5
06/13/2007,00:00,8537.5,8543.5,8107.5,8240.0
06/20/2007,00:00,8254.5,8822.5,8201.5,8748.5
06/27/2007,00:00,8758.0,8822.5,8431.0,8523.5
07/04/2007,00:00,8485.5,8766.5,8431.0,8724.0
07/11/2007,00:00,8716.5,8794.0,8468.5,8533.5
07/18/2007,00:00,8529.5,8820.5,8468.5,8694.0
07/25/2007,00:00,8603.5,8669.5,8315.5,8365.5
08/01/2007,00:00,8397.5,8442.5,8018.5,8149.5
08/08/2007,00:00,8031.0,8280.0,8008.5,8209.0
08/15/2007,00:00,8224.0,8275.5,7936.0,8056.5
08/22/2007,00:00,8002.5,8157.0,7826.0,8033.5
08/29/2007,00:00,8049.0,8232.5,7978.5,7992.0
09/05/2007,00:00,7995.5,8377.0,7978.5,8353.5
09/12/2007,00:00,8303.0,8340.0,7981.5,8091.5
09/19/2007,00:00,8066.5,8381.5,8037.0,8298.0
09/26/2007,00:00,8315.5,8512.5,8302.0,8473.5
10/03/2007,00:00,8494.5,8654.5,8438.5,8645.5
10/10/2007,00:00,8647.5,8694.5,8589.0,8689.0
10/17/2007,00:00,8684.5,8736.0,8592.5,8601.5
10/24/2007,00:00,8612.5,8684.5,8412.0,8538.0
10/31/2007,00:00,8503.5,8705.5,8466.0,8601.5
11/07/2007,00:00,8624.5,8705.5,8382.5,8521.0
11/14/2007,00:00,8473.0,8563.0,8347.5,8492.5
11/21/2007,00:00,8499.5,8519.0,8106.5,8234.5
11/28/2007,00:00,8174.0,8417.0,8072.5,8196.0
12/05/2007,00:00,8180.5,8576.5,8166.0,8433.5
12/12/2007,00:00,8469.5,8740.5,8465.0,8504.0
12/19/2007,00:00,8556.0,8740.5,8378.0,8487.5
12/27/2007,00:00,8477.5,8772.0,8386.5,8631.0
01/03/2008,00:00,8678.5,8772.0,8449.0,8521.0
01/10/2008,00:00,8554.5,8564.0,8283.0,8410.0
01/17/2008,00:00,8384.0,8418.5,7890.5,8046.0
01/24/2008,00:00,8079.0,8127.0,6900.0,7239.0
01/31/2008,00:00,7270.5,7566.5,7127.0,7408.5
02/07/2008,00:00,7374.0,7615.0,7205.0,7319.0
02/14/2008,00:00,7323.0,7609.0,7205.0,7565.5
02/21/2008,00:00,7597.5,7627.0,7340.5,7524.5
02/28/2008,00:00,7536.5,7567.5,7300.5,7509.0
03/06/2008,00:00,7491.5,7533.5,7049.0,7184.0
03/13/2008,00:00,7219.0,7222.0,6922.5,7077.5
03/20/2008,00:00,7031.0,7149.0,6693.0,6806.0
03/27/2008,00:00,6821.5,7124.5,6783.0,6972.5
04/03/2008,00:00,6981.5,7319.0,6936.5,7274.0
04/10/2008,00:00,7303.0,7351.0,7108.0,7197.0
04/17/2008,00:00,7206.0,7271.5,7014.0,7238.0
04/24/2008,00:00,7235.0,7362.5,7148.0,7280.5
05/02/2008,00:00,7257.0,7577.0,7205.0,7394.5
05/09/2008,00:00,7487.5,7589.5,7437.5,7538.5
05/16/2008,00:00,7501.5,7683.5,7437.5,7593.5
05/23/2008,00:00,7581.5,7711.5,7396.0,7542.0
05/30/2008,00:00,7536.5,7583.5,7368.0,7537.5
06/06/2008,00:00,7538.5,7583.5,7191.0,7439.5
06/13/2008,00:00,7446.0,7455.5,7078.5,7130.5
06/20/2008,00:00,7151.5,7302.0,6981.0,7207.5
06/27/2008,00:00,7181.5,7208.5,6778.0,6836.5
07/04/2008,00:00,6876.5,6899.5,6626.5,6791.0
07/11/2008,00:00,6802.5,6846.5,6548.0,6744.5
07/18/2008,00:00,6767.5,6808.5,6411.0,6747.5
07/25/2008,00:00,6677.5,6986.0,6650.0,6801.0
08/01/2008,00:00,6819.5,6951.0,6672.5,6860.0
08/08/2008,00:00,6849.5,7025.5,6726.0,6914.5
08/15/2008,00:00,6936.0,7034.5,6764.5,6844.5
08/22/2008,00:00,6859.5,6913.0,6607.0,6657.0
08/29/2008,00:00,6634.5,6843.0,6617.5,6822.0
09/05/2008,00:00,6811.0,6935.5,6467.5,6609.5
09/12/2008,00:00,6590.5,6732.5,6452.0,6616.0
09/19/2008,00:00,6601.5,6627.0,6153.0,6364.5
09/26/2008,00:00,6460.0,6618.0,6371.5,6553.0
10/03/2008,00:00,6471.5,6491.5,5889.0,6022.0
10/10/2008,00:00,6061.5,6215.5,4649.5,5031.0
10/17/2008,00:00,4925.5,5736.0,4649.5,5234.0
10/24/2008,00:00,5236.5,5304.5,4349.0,4816.5
10/31/2008,00:00,4616.5,5429.5,4349.0,5256.0
11/07/2008,00:00,5203.5,5672.5,5015.5,5055.5
11/14/2008,00:00,5120.5,5465.5,4828.0,5231.0
11/21/2008,00:00,5157.5,5206.5,4350.5,4376.0
11/28/2008,00:00,4505.5,5031.5,4350.5,4979.5
12/05/2008,00:00,4986.5,5056.5,4624.5,4801.0
12/12/2008,00:00,4816.5,5172.0,4642.0,5037.5
12/19/2008,00:00,4897.5,5167.5,4839.5,5008.0
12/29/2008,00:00,5019.0,5102.5,4874.0,4942.5
01/05/2009,00:00,4960.0,5352.5,4949.0,5330.0
01/12/2009,00:00,5323.0,5428.5,4963.5,5079.0
01/19/2009,00:00,5055.0,5099.0,4549.0,4675.0
01/26/2009,00:00,4719.5,4756.0,4365.0,4512.5
02/02/2009,00:00,4434.5,4860.0,4431.5,4622.0
02/09/2009,00:00,4604.5,4984.0,4492.5,4954.0
02/16/2009,00:00,4909.5,4984.0,4621.5,4689.0
02/23/2009,00:00,4661.0,4717.0,4147.0,4317.5
03/02/2009,00:00,4344.0,4406.5,3956.0,4118.0
03/09/2009,00:00,4063.5,4225.0,3878.5,3975.5
03/16/2009,00:00,3964.0,4363.0,3878.5,4292.5
03/23/2009,00:00,4295.0,4541.0,4237.0,4308.0
03/30/2009,00:00,4401.5,4592.0,4257.5,4501.5
04/06/2009,00:00,4451.5,4753.0,4257.5,4727.5
04/14/2009,00:00,4740.0,4874.5,4513.5,4799.0
04/21/2009,00:00,4767.5,4980.5,4680.5,4765.5
04/28/2009,00:00,4794.5,5005.0,4680.5,4958.5
05/05/2009,00:00,4923.5,5217.5,4837.0,5201.0
05/12/2009,00:00,5187.5,5266.5,5073.5,5141.0
05/19/2009,00:00,5121.5,5296.0,4938.0,5169.5
05/26/2009,00:00,5174.0,5345.0,5085.5,5184.5
06/02/2009,00:00,5171.5,5461.0,5085.5,5410.5
06/09/2009,00:00,5391.5,5461.0,5248.0,5323.5
06/16/2009,00:00,5316.5,5417.5,5125.5,5194.0
06/23/2009,00:00,5171.5,5216.0,4949.5,4970.0
06/30/2009,00:00,4960.5,5184.5,4949.5,5155.5
07/07/2009,00:00,5161.0,5208.0,4849.5,4961.0
07/14/2009,00:00,4945.5,5081.0,4797.5,5016.0
07/21/2009,00:00,5014.0,5419.5,4981.0,5330.0
07/28/2009,00:00,5341.5,5602.0,5306.0,5551.0
08/04/2009,00:00,5562.0,5743.0,5424.0,5707.5
08/11/2009,00:00,5689.5,5760.0,5549.0,5690.0
08/18/2009,00:00,5711.5,5733.5,5453.5,5490.0
08/25/2009,00:00,5511.5,5855.0,5436.5,5757.5
09/01/2009,00:00,5745.5,5855.0,5579.5,5754.0
09/08/2009,00:00,5780.5,5790.5,5540.0,5737.5
09/15/2009,00:00,5749.5,5930.0,5726.0,5914.0
09/22/2009,00:00,5902.5,6039.0,5859.5,5956.0
09/29/2009,00:00,5979.0,6034.0,5829.0,6009.0
10/06/2009,00:00,6009.0,6034.0,5717.0,5807.5
10/13/2009,00:00,5795.0,6093.5,5794.0,6042.0
10/20/2009,00:00,6048.0,6169.0,5972.5,6119.0
10/27/2009,00:00,6132.5,6169.0,5875.5,5931.0
11/03/2009,00:00,5931.0,5952.0,5591.0,5673.5
11/10/2009,00:00,5662.5,5932.5,5591.0,5928.5
11/17/2009,00:00,5910.0,6105.0,5872.0,6065.5
11/24/2009,00:00,6062.0,6122.5,5912.5,6056.5
12/01/2009,00:00,6034.0,6111.0,5784.5,5931.5
12/08/2009,00:00,5950.0,6137.0,5932.5,6053.0
12/15/2009,00:00,6070.0,6116.0,5879.5,6083.0
12/22/2009,00:00,6103.0,6257.5,6026.5,6201.0
12/29/2009,00:00,6209.0,6307.5,6202.0,6285.5
01/05/2010,00:00,6304.5,6332.0,6224.0,6308.0
01/12/2010,00:00,6299.5,6368.0,6190.0,6326.5
01/19/2010,00:00,6323.5,6329.0,6119.5,6188.0
01/26/2010,00:00,6172.5,6272.0,5817.0,5904.0
02/02/2010,00:00,5824.5,6005.0,5803.5,5922.0
02/09/2010,00:00,5909.5,6007.5,5650.5,5694.0
02/16/2010,00:00,5732.5,5884.5,5723.0,5799.5
02/23/2010,00:00,5799.5,6025.0,5764.0,5961.5
03/02/2010,00:00,5972.5,6051.0,5786.0,5981.0
03/09/2010,00:00,5992.5,6182.0,5978.5,6147.0
