date,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward,testAccuracy,testCoverage,testReward
41118,0.579185520361991,0.7366666666666667,11575.0,0.47368421052631576,0.95,-7337.5,0.5,0.5,975.0
41642,0.5887445887445888,0.77,15900.0,0.5,0.5,975.0,0.5882352941176471,0.85,4412.5
42183,0.5745614035087719,0.76,15537.5,0.6111111111111112,0.9,5537.5,0.47058823529411764,0.85,-1462.5
42707,0.5450643776824035,0.7766666666666666,8525.0,0.47058823529411764,0.85,-1462.5,0.6,0.75,4937.5
43245,0.5650224215246636,0.7433333333333333,12262.5,0.5714285714285714,0.7,2200.0,0.5294117647058824,0.85,2137.5
43745,0.5474137931034483,0.7733333333333333,8412.5,0.5294117647058824,0.85,2137.5,0.5,0.6,1762.5
44286,0.5550660792951542,0.7566666666666667,15112.5,0.5,0.6,1637.5,0.7368421052631579,0.95,2962.5
44804,0.5225225225225225,0.74,16712.5,0.7368421052631579,0.95,2962.5,0.5789473684210527,0.95,250.0
45351,0.5127118644067796,0.7866666666666666,8725.0,0.6,1.0,637.5,0.47368421052631576,0.95,-2437.5
45851,0.5327510917030568,0.7633333333333333,8225.0,0.47368421052631576,0.95,-2437.5,0.5,0.7,725.0
46392,0.5191489361702127,0.7833333333333333,3275.0,0.5,0.7,662.5,0.5789473684210527,0.95,4312.5
46910,0.5129310344827587,0.7733333333333333,4787.5,0.5789473684210527,0.95,4312.5,0.6,0.75,775.0
47456,0.5252100840336135,0.7933333333333333,18337.5,0.6,0.75,712.5,0.5384615384615384,0.65,637.5
47974,0.5269709543568465,0.8033333333333333,12900.0,0.5384615384615384,0.65,637.5,0.45,1.0,-712.5
48521,0.5569620253164557,0.79,16925.0,0.45,1.0,-1062.5,0.7222222222222222,0.9,2237.5
49045,0.5150214592274678,0.7766666666666666,10200.0,0.7222222222222222,0.9,2237.5,0.42857142857142855,0.7,-1162.5
49583,0.522633744855967,0.81,9787.5,0.4,0.75,-1212.5,0.8333333333333334,0.6,1425.0
50035,0.5308641975308642,0.81,3675.0,0.8333333333333334,0.6,1425.0,0.7222222222222222,0.9,4725.0
50576,0.5413223140495868,0.8066666666666666,4350.0,0.6842105263157895,0.95,4425.0,0.4666666666666667,0.75,-600.0
51094,0.5546218487394958,0.7933333333333333,7162.5,0.4666666666666667,0.75,-600.0,0.6923076923076923,0.65,1262.5
51634,0.542016806722689,0.7933333333333333,9050.0,0.75,0.6,2175.0,0.6666666666666666,0.6,-87.5
52158,0.5598290598290598,0.78,13075.0,0.6666666666666666,0.6,-87.5,0.6875,0.8,2325.0
52696,0.5636363636363636,0.7333333333333333,9100.0,0.7333333333333333,0.75,3650.0,0.46153846153846156,0.65,162.5
53209,0.5789473684210527,0.76,16750.0,0.46153846153846156,0.65,162.5,0.6875,0.8,1450.0
53756,0.5964125560538116,0.7433333333333333,12837.5,0.7333333333333333,0.75,2112.5,0.5454545454545454,0.55,2562.5
54271,0.5687203791469194,0.7033333333333334,9125.0,0.5454545454545454,0.55,2562.5,0.6428571428571429,0.7,2287.5
54818,0.5817307692307693,0.6933333333333334,16587.5,0.7142857142857143,0.7,2387.5,0.375,0.8,-1337.5
55326,0.5904761904761905,0.7,21162.5,0.375,0.8,-1337.5,0.6,0.5,1575.0
55868,0.6,0.7,20962.5,0.7272727272727273,0.55,2225.0,0.7058823529411765,0.85,2600.0
56314,0.585,0.6666666666666666,13437.5,0.7058823529411765,0.85,2600.0,0.5833333333333334,0.6,-875.0
56856,0.583732057416268,0.6966666666666667,14125.0,0.6153846153846154,0.65,-500.0,0.8461538461538461,0.65,2112.5
57384,0.5845410628019324,0.69,13025.0,0.8461538461538461,0.65,2112.5,0.6,0.75,1000.0
57912,0.6565656565656566,0.66,27425.0,0.6,0.75,862.5,0.5384615384615384,0.65,387.5
58434,0.6097560975609756,0.6833333333333333,12525.0,0.5384615384615384,0.65,387.5,0.6875,0.8,1437.5
58986,0.5812807881773399,0.6766666666666666,10987.5,0.625,0.8,987.5,0.7058823529411765,0.85,2075.0
59504,0.5961538461538461,0.6933333333333334,15850.0,0.7058823529411765,0.85,2075.0,0.46153846153846156,0.65,-112.5
60056,0.624390243902439,0.6833333333333333,18012.5,0.5384615384615384,0.65,637.5,0.47058823529411764,0.85,525.0
60578,0.6213592233009708,0.6866666666666666,15875.0,0.47058823529411764,0.85,525.0,0.6875,0.8,2937.5
61130,0.5849056603773585,0.7066666666666667,10200.0,0.6470588235294118,0.85,2637.5,0.6,0.75,312.5
61648,0.6009615384615384,0.6933333333333334,11525.0,0.6,0.75,312.5,0.47058823529411764,0.85,1300.0
62124,0.6,0.75,15550.0,0.4117647058823529,0.85,-1600.0,0.5833333333333334,0.6,1812.5
62646,0.5701357466063348,0.7366666666666667,9537.5,0.5833333333333334,0.6,1812.5,0.6470588235294118,0.85,1825.0
